Molecule,SMILES
ManOP,OC(O1)[C@@H](O)[C@@H](O)[C@H](O)[C@H]1COP(O)(O)=O
Man,OC(O1)[C@@H](O)[C@@H](O)[C@H](O)[C@H]1CO
GlcNAc,CC(N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)OC1O)=O
NeuNAc,O=C(O)C1(O)O[C@@H]([C@H](O)[C@H](O)CO)[C@H](NC(C)=O)[C@@H](O)C1
Gal,OC(O1)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CO
Fuc,C[C@H]1[C@@H](O)[C@@H](O)[C@H](O)C(O)O1
GalNAc,OC(O1)[C@H](NC(C)=O)[C@@H](O)[C@@H](O)[C@H]1CO
GlcNAcOS,OC(O1)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H]1COS(=O)(O)=O
Xyl,OC1[C@H](O)[C@@H](O)[C@H](O)CO1
GalOS,OC(O1)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1COS(=O)(O)=O
Glc,OC(O1)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
GalNAcOS,OC(O1)[C@H](NC(C)=O)[C@@H](O)[C@@H](OS(=O)(O)=O)[C@H]1CO
GlcOSA,O[C@H]1C(O)O[C@H](C(O)=O)[C@@H](O)[C@@H]1OS(O)(=O)=O
NeuNAcOS,O=C(O)C1(O)O[C@@H]([C@H](O)[C@H](OS(=O)(O)=O)CO)[C@H](NC(C)=O)[C@@H](O)C1
NeuNGc,O=C(O)C1(O)O[C@@H]([C@H](O)[C@H](O)CO)[C@H](NC(CO)=O)[C@@H](O)C1
L-Xyl,OC1[C@@H](O)[C@H](O)[C@@H](O)CO1
L-Aco,C[C@H]1[C@H](O)[C@@H](OC)[C@@H](O)C(O)O1
D-4dLyxHexOMe,OC1[C@@H](OC)[C@@H](O)C[C@@H](CO)O1
GalA,O[C@H]1C(O)O[C@H](C(O)=O)[C@H](O)[C@@H]1O
GalOMe,OC(O1)[C@H](O)[C@@H](OC)[C@@H](O)[C@H]1CO
Rha,C[C@H]1[C@H](O)[C@@H](O)[C@@H](O)C(O)O1
GlcA,O[C@H]1C(O)O[C@H](C(O)=O)[C@@H](O)[C@@H]1O
GlcOAcNOOle,OC1O[C@H](COC(C)=O)[C@@H](OC(CCCCCCC/C=C/CCCCCCCC)=O)[C@H](O)[C@H]1N
FucOMe,C[C@H]1[C@H]([C@H]([C@@H](C(O1)O)OC)O)O
D-Fuc,C[C@@H]1[C@H](O)[C@H](O)[C@@H](O)C(O)O1
Fruf,OCC(O1)(O)[C@@H](O)[C@H](O)[C@H]1CO
Kdo,O=C(O)C1(O)O[C@H]([C@H](O)CO)[C@H](O)[C@H](O)C1
FucN,C[C@H]1[C@@H](O)[C@@H](O)[C@H](N)C(O)O1
QuiN,C[C@@H]1[C@@H](O)[C@H](N)[C@@H](O)C(O)O1
GalN,OC(O1)[C@H](N)[C@@H](O)[C@@H](O)[C@H]1CO
HepOP,OC(O1)C(O)C(O)C(O)C1C(OP(O)(O)=O)CO
GlcOPN,OC(O1)[C@H](N)[C@@H](O)[C@H](OP(O)(O)=O)[C@H]1CO
GlcN,OC(O1)[C@H](N)[C@@H](O)[C@H](O)[C@H]1CO
QuiNAc,C[C@@H]1[C@@H](O)[C@H](O)[C@@H](NC(C)=O)C(O)O1
LDManHep,OC(O1)[C@@H](O)[C@@H](O)[C@H](O)[C@H]1[C@@H](O)CO
AraN,OC1[C@H](O)[C@@H](O)[C@@H](N)CO1
Ko,O=C(C1(O)O[C@H]([C@@H](CO)O)[C@H](O)[C@H](O)[C@@H]1O)O
XylHex,OC1OC(CO)[C@@H](O)[C@H](O)[C@H]1O
AraOPN,OC1[C@H](O)[C@@H](O)[C@@H](N)C(P(O)(O)=O)O1
L-Ole,C[C@H]1[C@H](O)[C@@H](OC)CC(O)O1
Oli,C[C@@H]1[C@@H](O)[C@H](O)CC(O)O1
L-ManOMe,OC(O1)[C@H](O)[C@H](OC)[C@@H](O)[C@@H]1CO
ManOPOMe,OC(O1)[C@@H](O)[C@@H](OC)[C@H](O)[C@H]1COP(O)(O)=O
Araf,OC(O1)[C@H](O)[C@@H](O)[C@@H]1CO
D-RhaOMe,C[C@@H]1[C@@H](O)[C@H](O)[C@H](OC)C(O)O1
D-Rha,C[C@@H]1[C@@H](O)[C@H](O)[C@H](O)C(O)O1
MurNAc,C[C@@H](O[C@H]1[C@H](O)[C@@H](CO)OC(O)[C@@H]1NC(C)=O)C(O)=O
L-QuiNAc,C[C@H]1[C@H](O)[C@@H](O)[C@H](NC(C)=O)C(O)O1
GlcOMeA,O[C@H]1C(O)O[C@H](C(OC)=O)[C@@H](O)[C@@H]1O
