,Unnamed: 0,Glycan,ID,Immunogenic,Link,species,class,domain,family,genus,kingdom,order,phylum
0,0,ManOP(a1-2)Man(a1-3)[Man(a1-3)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,GBID33,No,N,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
1,1,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,GBID124,No,N,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
2,2,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[NeuNAc(a2-6)]GalNAc,GBID208,No,O,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
3,3,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)[Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,GBID229,No,N,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
4,4,Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-2)Man(a1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,GBID267,No,N,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
5,5,GalNAc(b1-4)[NeuNAc(a2-3)]Gal(b1-4)GlcNAc(b1-4)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,GBID272,No,N,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
6,6,Fuc(a1-2)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,GBID274,No,N,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
7,7,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,GBID298,No,N,"Homo sapiens, MurineLeukemia Virus","Mammalia, Virus","Eukarya, Virus","Hominidae, Retroviridae","Homo, Gammaretrovirus","Animalia, Virus","Primates, Ortervirales","Chordata, Virus"
8,8,NeuNAc(a2-3)Gal(b1-4)GlcNAcOS(b1-6)[NeuNAc(a2-3)Gal(b1-3)]GalNAc,GBID299,No,O,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
9,9,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,GBID318,No,O,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
10,10,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,GBID329,No,N,"AvianInfluenzaA Virus, Bos taurus, Canis lupus, Capra hircus, Cavia porcellus, Coturnix japonica, Gallus gallus, Homo sapiens, HumanImmunoDeficiency Virus, Marburg Virus, Mesocricetus auratus, Mus musculus, Oryctolagus cuniculus, Ovis aries, Rattus norvegicus, Sus scrofa","Insthoviricetes, Mammalia, Aves, Virus, Monjiviricetes","Virus, Eukarya","Orthomyxoviridae, Bovidae, Canidae, Caviidae, Phasianidae, Hominidae, Retroviridae, Filoviridae, Cricetidae, Muridae, Leporidae, Suidae","Alphainfluenzavirus, Bos, Canis, Capra, Cavia, Coturnix, Gallus, Homo, Lentivirus, Marburgvirus, Mesocricetus, Mus, Oryctolagus, Ovis, Rattus, Sus","Riboviria, Animalia, Virus","Articulavirales, Artiodactyla, Carnivora, Rodentia, Galliformes, Primates, Ortervirales, Mononegavirales, Lagomorpha","Negarnaviricota, Chordata, Virus"
11,11,Man(a1-3)[Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,GBID332,No,N,"Acer pseudoplatanus, Actinidia chinensis, Allium cepa, Apium graveolens oulce, Arabidopsis thaliana, Arachis hypogaea, Armoracia rusticana, Asparagus officinalis, Bos taurus, Brassica oleracea, Brassica rapa, Citrus sinensis, Cocos nucifera, Corylus avellana, Daucus carota, Erythrina cristagalli, Fragaria ananassa, Ginkgo biloba, Glycine max, Homo sapiens, Juglans regia, Lupinus luteus, Malus domestica, Musa acuminata, Nicotiana tabacum, Olea europaea, Persea americana, Phaseolus vulgaris, Physcomitrella patens, Pistacia vera, Pisum sativum, Prunus dulcis sativa, Pyrus communis williams, Ricinus communis, Silene latifolia, Solanum lycopersicum, Solanum tuberosum, Synsepalum dulcificum, Vigna radiata radiata, ","Dicotyledons, Monocotyledons , Mammalia, Ginkgoopsida, Bryopsida, Pinopsida",Eukarya,"Sapindaceae, Actinidiaceae, Amaryllidaceae, Apiaceae, Brassicaceae, Fabaceae, Asparagaceae, Bovidae, Rutaceae, Lamiaceae, Arecaceae, Betulaceae, Cucurbitaceae, Rosaceae, Ginkgoaceae, Hominidae, Juglandaceae, Musaceae, Solanaceae, Oleaceae, Lauraceae, Funariaceae, Pinaceae, Anacardiaceae, Euphorbiaceae, Caryophyllaceae, Sapotaceae, Zingiberaceae","Acer, Actinidia, Allium, Apium, Arabiopsis, Arachis, Armoracia, Asparagus, Bos, Brassica, Citrus, Cocos, Corylus, Daucus, Erythrina, Fragaria, Ginkgo, Glycine, Homo, Juglans, Lupinus, Malus, Musa, Nicotiana, Olea, Persea, Phaseolus, Physcomitrella, Pistacia, Pisum, Prunus, Pyrus, Ricinus, Silene, Solanum, Synsepalum, Vigna, ","Plantae, Animalia","Sapindales, Ericales, Asparagales, Apiales, Brassicales, Fabales, Rosales, Artiodactyla, Lamiales, Arecales, Fagales, Cucurbitales, Ginkgoales, Primates, Zingiberales, Solanales, Laurales, Funariales, Pinales, Malpighiales, Caryophyllales","Angiosperms, Chordata, Ginkgophyta , Bryophyta, Coniferophyta "
12,12,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-4)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)]Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,GBID371,No,N,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
13,13,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-4)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,GBID373,No,N,"Bos taurus, Gallus gallus, Homo sapiens","Mammalia, Aves",Eukarya,"Bovidae, Phasianidae, Hominidae","Bos, Gallus, Homo",Animalia,"Artiodactyla, Galliformes, Primates",Chordata
14,14,Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,GBID377,No,N,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
15,15,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)GalNAc,GBID379,No,O,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
16,16,Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,GBID384,No,O,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
17,17,GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3)[GalNAc(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,GBID409,Unknown,N,"Bos taurus, Bothrops moojeni, Homo sapiens","Mammalia, Reptilia",Eukarya,"Bovidae, Viperidae, Hominidae","Bos, Bothrops, Homo",Animalia,"Artiodactyla, Squamata, Primates",Chordata
18,18,Fuc(a1-3)[Gal(b1-4)]GlcNAcOS(b1-6)[NeuNAc(a2-3)Gal(b1-3)]GalNAc,GBID420,No,O,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
19,19,GalOS(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[NeuNAc(a2-3)Gal(b1-3)]GalNAc,GBID463,No,O,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
20,20,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)]Man(a1-6)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,GBID485,No,N,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
21,21,NeuNAc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)]Man(a1-3)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,GBID512,No,N,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
22,22,NeuNAc(a2-6)GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,GBID531,No,N,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
23,23,NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,GBID560,No,N,"Homo sapiens, Sus scrofa",Mammalia,Eukarya,"Cricetidae, Hominidae, Suidae","Homo, Sus",Animalia,"Rodentia, Primates, Artiodactyla",Chordata
24,24,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,GBID566,No,N,"Bos taurus, Homo sapiens, HumanImmunoDeficiency Virus, Mesocricetus auratus, MinkCellFocusForming Virus, Mus musculus, Rattus norvegicus","Mammalia, Virus","Eukarya, Virus","Bovidae, Hominidae, Retroviridae, Cricetidae, Muridae","Bos, Homo, Lentivirus, Mesocricetus, Gammaretrovirus, Mus, Rattus","Animalia, Virus","Artiodactyla, Primates, Ortervirales, Rodentia","Chordata, Virus"
25,25,Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc,GBID582,No,O,"Bos taurus, Homo sapiens",Mammalia,Eukarya,"Bovidae, Hominidae","Bos, Homo",Animalia,"Artiodactyla, Primates",Chordata
26,26,Fuc(a1-4)GlcNAc(b1-6)Gal(b1-3)[Fuc(a1-4)GlcNAc(b1-6)]GalNAc,GBID594,No,O,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
27,27,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)]Man(a1-6)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,GBID601,No,N,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
28,28,Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-2)]Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,GBID631,No,N,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
29,29,NeuNAc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)]Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,GBID649,No,N,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
30,30,Fuc(a1-4)GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)GlcNAc(b1-6)]GalNAc,GBID654,No,O,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
31,31,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-4)Glc,GBID779,No,Free,Homo sapiens,Mammalia,Eukarya,Hominidae,Homo,Animalia,Primates,Chordata
